id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety,weight_kg,weight_class
2582-P,75,1510.0514229480175,ZUAGV,Paris,Texas,France,National Pumpkin Festival,1329 Y,1219 F,420,1548,-4,Pumpkin Pie,684.9472450378371,Medium
2665-P,74,1509.8743660105392,FDZSI,Nottingham,Texas,France,Local Pumpkin Festival,1996 B,1644 K,442,1702,-10,Queensland Blue,684.8669334274525,Medium
2083-P,14,1505.2871772442013,LOOKH,Houston,New York,USA,National Pumpkin Festival,1186 L,1999 T,422,1537,-2,Queensland Blue,682.7862213005518,Medium
2403-P,79,1501.9805243024605,JUFTF,Nottingham,New York,France,Local Pumpkin Festival,1903 O,1248 F,398,1378,9,Queensland Blue,681.2863499794016,Medium
2959-P,23,1492.908486014232,CDLOM,Nottingham,Florida,France,Local Pumpkin Festival,1061 Q,1877 E,404,1401,11,Kabocha,677.1713459881676,Medium
2047-P,14,1475.1587873222306,FMZQR,Los Angeles,Texas,France,Regional Pumpkin Festival,1978 L,1322 W,411,1495,0,Kabocha,669.1202246590652,Medium
2838-P,54,1463.4414988504725,YGRJC,Chicago,California,France,Regional Pumpkin Festival,1213 U,1994 A,422,1509,2,Kabocha,663.8053563465835,Medium
2794-P,23,1466.1926282793283,ZXBPZ,Chicago,Texas,Mexico,National Pumpkin Festival,1284 O,1060 I,408,1403,7,Queensland Blue,665.0532466464771,Medium
2218-P,45,1453.6507665850222,EFLPA,New York,California,Mexico,Regional Pumpkin Festival,1354 I,1117 E,407,1450,-1,Queensland Blue,659.3643585168334,Medium
2132-P,52,1453.4714793032035,LRUGJ,Nottingham,California,Mexico,Regional Pumpkin Festival,1256 M,1119 A,409,1385,0,Kikuza,659.2830352400987,Medium
2722-P,32,1456.926733748987,BCBHH,Los Angeles,Texas,France,Regional Pumpkin Festival,1891 X,1686 M,399,1371,4,Kikuza,660.8503110146705,Medium
2084-P,11,1437.6731265317649,ZIRUW,New York,Florida,Mexico,National Pumpkin Festival,1253 S,1021 F,412,1430,0,Pumpkin Pie,652.1170288097962,Medium
2763-P,59,1449.8751730322838,SJKHF,Houston,Florida,Mexico,Regional Pumpkin Festival,1298 S,1626 S,398,1323,5,Kabocha,657.6517794860597,Medium
2012-P,2,1431.7322907594964,GRWIK,New York,California,Mexico,National Pumpkin Festival,1993 Y,1066 C,407,1430,5,Kabocha,649.4223132301815,Medium
2415-P,89,1429.968225150369,BBQDA,Houston,New York,USA,Regional Pumpkin Festival,1770 N,1533 O,380,1167,18,Queensland Blue,648.6221471824063,Medium
2087-P,65,1438.6106682904065,GAMYQ,Los Angeles,Texas,France,National Pumpkin Festival,1835 D,1657 P,393,1290,8,Pumpkin Pie,652.5422902511821,Medium
2200-P,67,1420.2596507156268,ECIJF,Houston,New York,France,Regional Pumpkin Festival,1342 M,1845 W,402,1366,3,Queensland Blue,644.2184154874026,Medium
2691-P,25,1430.0204337444156,ABIBO,New York,Florida,France,Local Pumpkin Festival,1592 V,1063 K,401,1336,8,Pumpkin Pie,648.645828582997,Medium
2795-P,68,1409.5558966090905,GXLHG,New York,California,Mexico,Local Pumpkin Festival,1136 J,1128 V,386,1265,7,Pumpkin Pie,639.3632782547106,Medium
2551-P,93,1414.286739253439,DQTNL,Chicago,California,USA,Local Pumpkin Festival,1793 L,1356 C,410,1425,2,Queensland Blue,641.5091506314459,Medium
2186-P,6,1402.4970359625297,IZCHA,Los Angeles,Florida,France,Regional Pumpkin Festival,1426 F,1835 O,392,1318,8,Kabocha,636.1614355363158,Medium
2252-P,12,1412.4536311794072,YGUEJ,Los Angeles,Florida,Mexico,National Pumpkin Festival,1013 H,1549 R,402,1359,5,Pumpkin Pie,640.6776674739297,Medium
2902-P,87,1389.2696226071566,VKTXF,Nottingham,New York,Mexico,Regional Pumpkin Festival,1000 K,1281 W,400,1351,1,Kikuza,630.1615866576254,Medium
2463-P,18,1400.6158257145437,XHWGP,Nottingham,California,USA,Local Pumpkin Festival,1391 G,1638 V,388,1262,12,Pumpkin Pie,635.3081336175113,Medium
2705-P,22,1387.353297484107,NYWFJ,Houston,Texas,France,Local Pumpkin Festival,1261 C,1377 W,392,1291,5,Kabocha,629.2923569124112,Medium
2139-P,5,1396.8466337146235,IDVPO,Chicago,California,Mexico,Local Pumpkin Festival,1494 L,1649 K,415,1486,-11,Kikuza,633.5984582798835,Medium
2809-P,95,1394.1758602205664,PFEOU,Houston,Florida,USA,Local Pumpkin Festival,1838 S,1466 E,402,1362,2,Kikuza,632.3870167891671,Medium
2935-P,6,1388.6936739683151,LASLJ,Houston,Texas,USA,Regional Pumpkin Festival,1852 O,1700 V,395,1285,2,Queensland Blue,629.9003409626359,Medium
2932-P,38,1389.3879108726978,IPERR,Paris,Texas,France,National Pumpkin Festival,1248 X,1006 F,411,1452,-4,Kikuza,630.2152412685688,Medium
2132-P,64,1386.858792765066,ZQGWW,Los Angeles,California,USA,National Pumpkin Festival,1856 Z,1825 X,404,1394,-2,Kabocha,629.0680535278918,Medium
2074-P,99,1379.1614283230156,VQLKV,Nottingham,New York,Mexico,National Pumpkin Festival,1938 P,1881 D,394,1307,11,Queensland Blue,625.5765905958933,Medium
2627-P,57,1370.7816991163418,MITDQ,Los Angeles,New York,Mexico,Local Pumpkin Festival,1397 J,1469 K,393,1255,11,Pumpkin Pie,621.7756124655797,Medium
2900-P,63,1349.8862845245749,EBZVW,Chicago,Florida,Mexico,Local Pumpkin Festival,1837 H,1488 X,406,1435,-5,Pumpkin Pie,612.297619570071,Medium
2203-P,41,1350.4277049973607,ZNAHZ,Los Angeles,New York,France,Local Pumpkin Festival,1484 Y,1296 K,374,1133,15,Kabocha,612.5432035651628,Medium
2578-P,19,1360.40237352252,FEMKV,Nottingham,Florida,Mexico,Regional Pumpkin Festival,1832 W,1206 A,390,1284,0,Kikuza,617.0676334108269,Medium
2132-P,65,1360.8053857479244,YFOSU,New York,California,USA,National Pumpkin Festival,1046 X,1677 A,392,1308,2,Queensland Blue,617.2504365321726,Medium
2193-P,31,1338.733118142001,DSIRZ,Paris,Texas,France,Local Pumpkin Festival,1061 P,1207 U,400,1393,-3,Queensland Blue,607.2386325242666,Medium
2103-P,91,1336.1579444538802,MUGKY,Chicago,Texas,USA,National Pumpkin Festival,1953 J,1354 H,395,1306,6,Pumpkin Pie,606.0705543407245,Medium
2777-P,85,1330.8349697571248,UHLIY,New York,California,USA,National Pumpkin Festival,1221 E,1102 Q,387,1271,4,Queensland Blue,603.6560956020737,Medium
2462-P,13,1322.92702125106,EHTEO,New York,New York,Mexico,National Pumpkin Festival,1113 U,1645 X,407,1382,-1,Queensland Blue,600.0691134233108,Medium
2954-P,88,1316.4035896137357,ZBHLF,Nottingham,Florida,USA,Local Pumpkin Festival,1651 X,1741 H,394,1270,5,Kabocha,597.1101370200736,Medium
2070-P,57,1318.3684872202575,AAZHZ,New York,California,France,Local Pumpkin Festival,1686 B,1656 A,389,1289,-1,Queensland Blue,598.001398855211,Medium
2744-P,41,1314.6708896392956,IMWDY,Chicago,California,USA,Regional Pumpkin Festival,1327 M,1840 S,379,1198,8,Kikuza,596.3241981732674,Medium
2401-P,7,1310.008316932246,AXVRC,Chicago,New York,France,Regional Pumpkin Festival,1382 A,1228 B,383,1219,4,Queensland Blue,594.2092924939313,Medium
2952-P,29,1311.6659336620942,UOWUX,Chicago,California,France,Regional Pumpkin Festival,1513 O,1135 A,399,1349,0,Queensland Blue,594.9611741816566,Medium
2182-P,58,1306.2945559555665,HVICN,Chicago,Texas,France,National Pumpkin Festival,1333 O,1776 V,394,1257,0,Pumpkin Pie,592.5247602249973,Medium
2471-P,73,1302.6303852586077,DRFUW,Chicago,Texas,USA,Regional Pumpkin Festival,1717 M,1834 P,411,1478,-7,Pumpkin Pie,590.8627217102223,Medium
2263-P,85,1295.043840154074,UGVIU,Paris,Texas,France,Local Pumpkin Festival,1073 K,1309 G,391,1292,-3,Kikuza,587.4215255431667,Medium
2584-P,64,1287.864119552076,WLJFQ,Nottingham,Texas,France,Regional Pumpkin Festival,1782 E,1521 Z,382,1234,1,Queensland Blue,584.1648617158653,Medium
2375-P,59,1296.191475952044,SFJAX,Los Angeles,New York,France,Regional Pumpkin Festival,1129 S,1186 L,372,1122,18,Kabocha,587.9420839600394,Medium
2268-P,26,1291.6454125614837,VCLNR,New York,New York,France,Regional Pumpkin Festival,1574 H,1714 E,393,1259,-1,Queensland Blue,585.8800259745885,Medium
2531-P,8,1293.5055474946275,EQRTO,New York,California,France,Local Pumpkin Festival,1386 J,1450 Z,393,1338,2,Kikuza,586.7237682991831,Medium
2794-P,1,1272.9825393091887,HVBUP,New York,Texas,Mexico,Local Pumpkin Festival,1255 M,1413 S,391,1239,5,Pumpkin Pie,577.4146959703335,Medium
2262-P,76,1281.7701322641224,HMSEL,Nottingham,Florida,Mexico,National Pumpkin Festival,1112 F,1821 K,390,1241,8,Kikuza,581.4006778339478,Medium
2491-P,37,1271.763905243948,EMRVU,Houston,Florida,Mexico,National Pumpkin Festival,1625 Z,1294 F,385,1213,10,Kikuza,576.8619333074129,Medium
2111-P,58,1262.0919375877827,CWCIL,Paris,New York,USA,National Pumpkin Festival,1511 T,1533 V,382,1229,4,Kikuza,572.4748061543175,Medium
2929-P,21,1262.1650004377589,SISNM,New York,Texas,USA,National Pumpkin Festival,1301 C,1642 U,404,1363,-9,Kikuza,572.5079468785639,Medium
2507-P,61,1273.5985073847696,IUDEA,Los Angeles,California,Mexico,Regional Pumpkin Festival,1325 T,1533 Z,370,1142,16,Pumpkin Pie,577.6940941616724,Medium
2895-P,65,1270.7606770545244,AONON,Paris,Florida,Mexico,National Pumpkin Festival,1094 N,1017 J,3,-2,-4,Queensland Blue,576.4068770265159,Medium
2412-P,45,1258.3708197027445,SQVZF,Nottingham,New York,Mexico,National Pumpkin Festival,1213 Z,1249 W,379,1150,15,Kabocha,570.7869368506073,Medium
2175-P,42,1263.974815526046,ZQBTI,New York,California,USA,Regional Pumpkin Festival,1044 Y,1275 L,379,1130,14,Pumpkin Pie,573.3288645240902,Medium
2519-P,9,1258.7700414629653,JNMGF,Los Angeles,New York,France,Local Pumpkin Festival,1838 T,1537 K,375,1141,13,Kabocha,570.9680206472693,Medium
2827-P,96,1251.210194999352,CXCNE,New York,Florida,France,National Pumpkin Festival,1372 G,1973 V,386,1216,5,Kikuza,567.538934770146,Medium
2398-P,36,1237.052652600221,YRUEP,Chicago,New York,France,National Pumpkin Festival,1874 I,1360 X,380,1222,0,Kikuza,561.1171867982395,Medium
2298-P,98,1222.8569905580953,CGCSZ,Nottingham,California,Mexico,Regional Pumpkin Festival,1005 C,1824 F,406,1374,-14,Queensland Blue,554.6781480612276,Medium
2562-P,70,1222.056867558509,BQIHC,Nottingham,Florida,USA,National Pumpkin Festival,1673 S,1837 T,379,1133,10,Kabocha,554.3152186695993,Medium
2367-P,41,1238.9585500452667,QHVJO,Paris,Texas,France,National Pumpkin Festival,1648 P,1250 Z,373,1153,3,Pumpkin Pie,561.9816866321327,Medium
2169-P,20,1220.3919376198205,HPRJC,New York,California,USA,Local Pumpkin Festival,1039 Y,1497 D,382,1177,1,Kabocha,553.5600197688497,Medium
2102-P,28,1217.5665300127118,HCHXS,Houston,Florida,USA,Local Pumpkin Festival,1070 L,1440 I,389,1307,-5,Pumpkin Pie,552.278437481526,Medium
2942-P,68,1206.4412201067432,PRUMB,New York,California,Mexico,Local Pumpkin Festival,1640 X,1627 F,391,1316,-9,Pumpkin Pie,547.2320859106578,Medium
2472-P,27,1211.5998957213014,IZMRH,Houston,Texas,Mexico,Regional Pumpkin Festival,1040 Y,1716 T,388,1275,-10,Pumpkin Pie,549.5720199000166,Medium
2719-P,18,1208.3330958839506,ZQKKN,Los Angeles,Florida,Mexico,Regional Pumpkin Festival,1547 N,1726 A,371,1154,8,Kikuza,548.0902256281929,Medium
2450-P,17,1202.4622971843928,AQWNC,Houston,Texas,Mexico,Local Pumpkin Festival,1692 M,1888 B,379,1136,4,Queensland Blue,545.4272783044631,Medium
2244-P,80,1210.500914745964,OBQPE,Nottingham,Florida,Mexico,Regional Pumpkin Festival,1920 M,1893 S,391,1282,-1,Pumpkin Pie,549.0735309214514,Medium
2745-P,76,1206.867922399193,OMBLY,Chicago,Texas,Mexico,Regional Pumpkin Festival,1015 X,1480 S,380,1205,-3,Kikuza,547.4256346568948,Medium
2244-P,42,1211.3379611885175,JKJJZ,Nottingham,Texas,France,Regional Pumpkin Festival,1838 H,1893 Q,398,1373,-8,Kabocha,549.4532084914221,Medium
2586-P,61,1206.830773603171,NDXZI,Paris,Florida,USA,National Pumpkin Festival,1460 V,1394 C,381,1172,0,Kikuza,547.4087842602096,Medium
2574-P,91,1185.0810588616878,AKCSR,Los Angeles,Florida,France,Local Pumpkin Festival,1932 D,1765 S,369,1106,10,Pumpkin Pie,537.5432876511907,Medium
2771-P,100,1199.8398784836754,WFCEA,Houston,California,France,Local Pumpkin Festival,1871 P,1598 B,360,1019,21,Kabocha,544.2377701611673,Medium
2882-P,18,1185.1324364244938,NCYBH,Houston,New York,France,Local Pumpkin Festival,1344 T,1587 C,390,1298,-5,Pumpkin Pie,537.566592102659,Medium
2923-P,6,1180.5075728846714,AUDMI,Nottingham,California,Mexico,Regional Pumpkin Festival,1739 S,1811 I,408,1390,-17,Pumpkin Pie,535.4687909999038,Medium
2130-P,97,1194.6465845879168,FBRZY,Paris,Florida,Mexico,Regional Pumpkin Festival,1486 S,1848 I,380,1192,-4,Kabocha,541.8821335964024,Medium
2451-P,31,1181.3907586364076,VBUVY,Los Angeles,California,France,National Pumpkin Festival,1878 R,1926 U,383,1255,-7,Kabocha,535.8693969914053,Medium
2446-P,87,1180.2566264867785,XNLKA,Paris,New York,France,Local Pumpkin Festival,1312 J,1824 B,390,1258,-11,Queensland Blue,535.3549637213908,Medium
2227-P,17,1186.6245750878006,FNVUT,Paris,New York,France,Local Pumpkin Festival,1547 K,1256 N,386,1215,-4,Kikuza,538.2434142632256,Medium
2541-P,49,1171.2504870751873,AFUWG,Los Angeles,Texas,USA,Regional Pumpkin Festival,1018 C,1241 O,375,1183,4,Queensland Blue,531.2698509334083,Medium
2631-P,23,1177.5562649294734,WQXGZ,Chicago,Florida,Mexico,Regional Pumpkin Festival,1873 Q,1867 W,388,1236,0,Queensland Blue,534.1301013218897,Medium
2735-P,24,1174.0709589608014,IHKIB,Los Angeles,Florida,USA,Regional Pumpkin Festival,1396 Z,1992 X,369,1082,8,Kabocha,532.5491944169478,Medium
2905-P,73,1165.6843931851909,JVDEL,Houston,California,USA,Local Pumpkin Festival,1226 N,1955 U,404,1364,-15,Kabocha,528.7451152736571,Medium
2705-P,3,1155.8913172092289,CXXRK,New York,New York,Mexico,National Pumpkin Festival,1834 C,1546 C,381,1166,4,Kikuza,524.3030543555685,Medium
2348-P,61,1156.314487980679,ESIJO,Nottingham,New York,France,Local Pumpkin Festival,1553 G,1022 N,388,1270,-11,Kikuza,524.4950012321322,Medium
2078-P,73,1154.5590710118413,JSSCE,New York,New York,Mexico,National Pumpkin Festival,1794 L,1527 P,376,1118,4,Queensland Blue,523.6987581384032,Medium
2600-P,27,1147.8191716456786,TOVQH,Paris,California,France,National Pumpkin Festival,1427 B,1915 U,380,1153,2,Queensland Blue,520.6415937051066,Medium
2203-P,33,1139.3222553273663,CMTIW,Chicago,Florida,France,Local Pumpkin Festival,1197 J,1960 W,391,1275,-15,Kabocha,516.7874604384507,Medium
2684-P,8,1138.9306161150337,UXJWY,Nottingham,New York,France,Local Pumpkin Festival,1931 R,1072 E,363,1041,8,Pumpkin Pie,516.6098160248504,Medium
2138-P,92,1128.294043130241,KNZJM,New York,New York,USA,National Pumpkin Festival,1793 X,1604 K,376,1176,-2,Kikuza,511.78515161153234,Medium
2489-P,54,1136.530720802955,REROX,Houston,California,France,National Pumpkin Festival,1480 I,1116 G,366,1094,2,Kabocha,515.521242710454,Medium
2755-P,68,1135.739388294518,GXQVD,Los Angeles,Texas,USA,Regional Pumpkin Festival,1883 D,1437 G,369,1133,0,Pumpkin Pie,515.162300615287,Medium
2120-P,34,1121.0224559912458,EGULP,Houston,Texas,Mexico,National Pumpkin Festival,1446 W,1675 O,371,1117,-3,Pumpkin Pie,508.4868178579812,Medium
2225-P,3,1109.1316924970597,XDGIS,Nottingham,Texas,Mexico,Local Pumpkin Festival,1027 G,1592 B,381,1183,-4,Kabocha,503.0932626631263,Medium
2718-P,61,1105.3557633766904,SWBXY,Nottingham,Texas,USA,National Pumpkin Festival,1615 K,1114 S,360,1067,8,Queensland Blue,501.3805314215598,Medium
2901-P,61,1107.8919144622982,BYLTY,Houston,Florida,France,National Pumpkin Festival,1785 Z,1099 U,375,1142,0,Pumpkin Pie,502.5309092647828,Medium
2180-P,21,1104.2407695343718,UJMFZ,Nottingham,Florida,Mexico,National Pumpkin Festival,1259 E,1974 F,364,1054,4,Pumpkin Pie,500.87477913463476,Medium
2627-P,16,1111.588519579731,HZENA,New York,Texas,Mexico,Regional Pumpkin Festival,1366 X,1789 Y,364,1029,9,Queensland Blue,504.2076597732093,Medium
2906-P,77,1111.5680886413902,VMBXQ,Nottingham,California,France,National Pumpkin Festival,1760 T,1024 B,360,1050,6,Kikuza,504.19839246302547,Medium
2615-P,37,1114.0123310210183,XBSNV,Nottingham,Florida,France,Regional Pumpkin Festival,1850 D,1503 M,375,1179,-4,Queensland Blue,505.3070812524857,Medium
2223-P,38,1092.4906720248982,HADBQ,New York,California,Mexico,Local Pumpkin Festival,1224 P,1692 U,353,1001,5,Kabocha,495.54502890511765,Light
2876-P,39,1096.406975131482,ITSUL,Houston,New York,USA,National Pumpkin Festival,1053 W,1508 G,348,962,14,Queensland Blue,497.32143266383923,Light
2533-P,41,1097.11202474311,CCJWZ,Paris,New York,France,Regional Pumpkin Festival,1053 Z,1669 A,377,1150,-4,Queensland Blue,497.6412375272767,Light
2216-P,27,1089.2669324530289,GOAZL,Los Angeles,New York,USA,Regional Pumpkin Festival,1054 I,1986 Z,378,1147,-2,Pumpkin Pie,494.08276642523424,Light
2164-P,75,1072.0148684689775,VEHWQ,Chicago,Texas,France,Local Pumpkin Festival,1648 J,1483 X,358,980,12,Kabocha,486.25736821858044,Light
2346-P,77,1082.147108358331,SIGZR,Chicago,Florida,USA,Local Pumpkin Festival,1667 P,1149 V,355,960,17,Queensland Blue,490.85327117447207,Light
2324-P,21,1080.2766719562933,CWBVV,Houston,Florida,France,Local Pumpkin Festival,1931 V,1557 K,364,1080,0,Kabocha,490.00485618599896,Light
2413-P,84,1067.6244732216,IGMGC,Chicago,New York,France,National Pumpkin Festival,1112 P,1110 M,360,1018,8,Kabocha,484.265920057532,Light
2925-P,84,1073.1928869020194,GWMJX,Paris,Texas,France,National Pumpkin Festival,1101 K,1925 I,346,935,11,Pumpkin Pie,486.7917079556608,Light
2043-P,33,1075.3938124421984,RYKAA,New York,Florida,USA,National Pumpkin Festival,1414 K,1867 V,360,989,5,Queensland Blue,487.79003017328165,Light
2582-P,54,1070.447261003405,ZFZCT,Houston,Texas,France,Regional Pumpkin Festival,1913 M,1335 V,4,-1,-3,Kabocha,485.5463140130565,Light
2421-P,29,1076.9585313564166,FKVUT,Paris,Florida,France,National Pumpkin Festival,1357 M,1971 C,361,1049,-3,Kikuza,488.49977415501974,Light
2298-P,79,1063.616834141314,MHCTV,New York,Florida,USA,Regional Pumpkin Festival,1214 O,1445 V,360,992,6,Pumpkin Pie,482.4480870318269,Light
2258-P,49,1068.3911783164367,NLOOO,Los Angeles,Florida,Mexico,Regional Pumpkin Festival,1223 V,1513 A,375,1190,-8,Kikuza,484.6136913549092,Light
2471-P,97,1062.7037496808916,VMEWL,Los Angeles,New York,USA,Regional Pumpkin Festival,1079 D,1866 U,360,993,2,Queensland Blue,482.033919225255,Light
2044-P,89,1058.483800990507,EHQGL,New York,California,USA,National Pumpkin Festival,1626 T,1471 W,357,982,6,Pumpkin Pie,480.11978425888606,Light
2978-P,43,1062.8139857947826,LJOJW,Chicago,New York,USA,National Pumpkin Festival,1624 V,1834 V,-5,-3,-5,Pumpkin Pie,482.08392144462704,Light
2465-P,95,1066.955274601467,CYWLZ,Los Angeles,Texas,France,Regional Pumpkin Festival,1427 G,1990 I,344,935,9,Queensland Blue,483.9623769170286,Light
2881-P,11,1056.633310655877,IWKYB,Los Angeles,Texas,USA,Regional Pumpkin Festival,1529 S,1626 T,343,925,14,Pumpkin Pie,479.28041664702056,Light
2413-P,57,1047.975117182359,FGCSC,Chicago,California,USA,Local Pumpkin Festival,1750 J,1945 O,375,1108,-1,Kabocha,475.3531293529806,Light
2268-P,78,1058.0377163207158,IVLXD,Nottingham,California,USA,Local Pumpkin Festival,1098 O,1644 K,377,1124,-4,Queensland Blue,479.9174438213461,Light
2938-P,36,1051.1326915072275,XWKDF,Los Angeles,Florida,USA,National Pumpkin Festival,1746 F,1441 N,377,1127,-8,Pumpkin Pie,476.78537980614635,Light
2454-P,97,1041.3387455698105,SJWWK,Los Angeles,Florida,France,National Pumpkin Festival,1830 C,1612 X,365,1040,4,Queensland Blue,472.3429242805015,Light
2605-P,41,1052.4150440339,ZZIIZ,Houston,New York,USA,Local Pumpkin Festival,1513 K,1458 L,364,1014,1,Queensland Blue,477.3670446534247,Light
2360-P,95,1040.7085983389989,YLHAV,Nottingham,California,USA,Regional Pumpkin Festival,1952 Z,1070 X,-5,4,1,Queensland Blue,472.05709453778314,Light
2451-P,84,1037.529572398961,ARMSP,Chicago,Texas,USA,Regional Pumpkin Festival,1656 B,1644 G,355,1023,-3,Queensland Blue,470.61511380358945,Light
2195-P,23,1032.7392299845817,CGSWR,Houston,Florida,USA,Local Pumpkin Festival,1679 M,1590 Q,366,1029,2,Kikuza,468.44225280716637,Light
2111-P,97,1022.4876444395632,JUMIR,Nottingham,California,Mexico,Regional Pumpkin Festival,1789 W,1970 J,371,1118,-8,Queensland Blue,463.7922156166303,Light
2154-P,1,1023.1264002295212,XLDUW,Los Angeles,New York,USA,National Pumpkin Festival,1730 L,1946 S,353,980,8,Pumpkin Pie,464.08195013290896,Light
2951-P,84,1019.7944724801928,FSVAI,Paris,California,France,National Pumpkin Festival,1971 T,1560 S,356,969,10,Pumpkin Pie,462.5706143612356,Light
2651-P,64,1028.3299822956324,WKPJN,Nottingham,Florida,France,National Pumpkin Festival,1189 L,1239 J,363,1059,-6,Kabocha,466.44225332944046,Light
2813-P,64,1020.6287307986988,MHFRG,Paris,California,France,National Pumpkin Festival,1707 Z,1390 W,342,910,15,Pumpkin Pie,462.9490272604434,Light
2001-P,62,1014.9117565300317,ZVGQU,Los Angeles,New York,France,National Pumpkin Festival,1408 F,1382 H,361,1046,-4,Kabocha,460.3558534679701,Light
2611-P,47,1010.7687402525916,CIOGH,Nottingham,Florida,France,Regional Pumpkin Festival,1074 A,1564 P,354,990,0,Pumpkin Pie,458.4766144286535,Light
2922-P,31,1017.7521113744006,RFJFF,Nottingham,New York,France,Regional Pumpkin Festival,1326 P,1211 Z,350,935,6,Kabocha,461.6442157025371,Light
2835-P,61,1010.844621675089,PYPVS,Nottingham,California,Mexico,National Pumpkin Festival,1296 L,1520 Y,377,1142,-12,Pumpkin Pie,458.51103363484697,Light
2727-P,55,998.1121431328356,ITJGK,Nottingham,New York,France,Local Pumpkin Festival,1002 H,1889 J,347,931,3,Kikuza,452.7356832279092,Light
2621-P,81,1007.3559699198232,WDZJW,Los Angeles,California,USA,Local Pumpkin Festival,1231 N,1477 K,355,961,8,Pumpkin Pie,456.92860910787243,Light
2265-P,25,995.5818548742682,XIHGR,Los Angeles,Florida,USA,Local Pumpkin Festival,1853 Z,1787 W,-4,4,5,Queensland Blue,451.587964716129,Light
2164-P,33,1001.3127821767704,CIDDW,Chicago,Texas,USA,National Pumpkin Festival,1779 P,1215 K,346,895,16,Queensland Blue,454.1874674931256,Light
2740-P,95,995.3650434268638,NERRC,Los Angeles,Florida,USA,National Pumpkin Festival,1252 E,1287 T,352,931,3,Kabocha,451.489620778078,Light
2742-P,100,987.787846872583,DMEEY,Houston,Florida,France,National Pumpkin Festival,1609 T,1287 B,1,-5,3,Pumpkin Pie,448.0526650386287,Light
2851-P,72,999.2931147115304,OCRAY,Chicago,California,USA,Local Pumpkin Festival,1354 D,1173 W,358,968,-3,Kabocha,453.2713624882325,Light
2790-P,13,992.9264452446253,AFTJO,Nottingham,Texas,Mexico,Regional Pumpkin Festival,1130 T,1754 J,368,1085,-9,Kikuza,450.38349215140005,Light
2029-P,75,984.8950926326216,JCSCS,Nottingham,New York,Mexico,Regional Pumpkin Festival,1787 F,1676 L,360,983,1,Kikuza,446.7405348574161,Light
2652-P,17,987.5492080477998,KQZEA,Houston,Texas,USA,Local Pumpkin Festival,1311 G,1050 X,357,998,-3,Queensland Blue,447.94442037681756,Light
